Site ID,Latitude,Longitude
RUR0456,32.7517,74.3875
RUR0687,32.6824,74.0245
RUR0077,32.8365,74.0789
RUR0758,32.7749,74.0652
RUR3735,32.6495,74.0793
EC1-GMZ-00429,32.64275,74.00163
EC1-GUT-00415,32.57662,74.06941
EC1-GUT-04272,32.51276,74.0336
EC1-GUT-04555,32.74621,74.08165
EC1-GUT-05445,32.61515,74.02472
EC1-KHR-02512,32.87453,74.13868
EC1-GUT-01990,32.63677,73.97587
EC1-GUT-02246,32.73785,74.10403
EC1-GUT-02327,32.550434,74.076269
EC1-GUT-02247,32.79299,74.23853
EC1-GUT-02342,32.56749,74.10653
EC1-GUT-02248,32.671652,74.408627
EC1-GUT-02516,32.75222,74.18955
EC1-GUT-02328,32.630963,74.077602
EC1-LLM-01090,32.7,73.95622
EC1-GUT-01787,32.455796,73.969235
EC1-GUT-00421,32.56724,74.0715
EC1-GUT-03045,32.63958,74.1935
EC1-GUT-03404,32.734939,73.903777
EC1-GUT-03340,32.906883,74.069757
EC1-GUT-03870,32.61367,74.2114
EC1-GUT-03536,32.7887516,74.0012154
EC1-LLM-03864,32.845307,74.188419
EC1-GUT-03418,32.605292,73.953318
EC1-GUT-03966,32.52846,73.97852
EC1-GUT-03980,32.496801,73.888156
EC1-GUT-03877,32.530708,73.943243
EC1-GUT-06041,32.490531,73.898458
EC1-GUT-06029,32.563477,74.04237
EC1-GUT-03403,32.68612,73.959285
EC1-GUT-00411,32.57283,74.07952
EC1-LLM-03004,32.70869,73.944217
EC1-LLM-07098,32.69523,73.9565412
EC1-GUT-07101,32.71502,73.98743
EC1-GUT-07100,32.82271,73.957546
EC1-GUT-06910,32.593598,74.079984
EC1-GUT-06634,32.8575,74.0723
EC1-GUT-07488,32.74883,74.30922
EC1-GUT-07859,32.726499,74.078757
EC1-GUT-08182,32.60015,74.0426
EC1-JPB-07861,32.849326,74.194864
EC1-JPB-08184,32.77614,74.29298
EC1-GUT-06236,32.53102,73.97802
EC1-GUT-07486,32.64941,74.1653
EC1-LLM-06244,32.76129,73.9506
EC1-GUT-08374,32.55957,74.04728
EC1-LLM-08113,32.698361,73.960775
